brand,model,engine_cc
Hero,Splendor Plus,97
Hero,HF Deluxe,97
Hero,Passion Pro,110
Honda,Shine,123
Honda,SP 125,124
Honda,Hornet 2.0,184
Bajaj,Pulsar 125,125
Bajaj,Pulsar 150,149
Bajaj,Pulsar NS200,199
Bajaj,Dominar 400,373
TVS,Sport,109
TVS,Radeon,109
TVS,Apache RTR 160,159
TVS,Apache RTR 200 4V,197
Yamaha,FZ-FI,149
Yamaha,MT-15,155
Yamaha,R15 V4,155
Suzuki,Gixxer,155
Suzuki,V-Strom SX,249
Royal Enfield,Classic 350,349
Royal Enfield,Hunter 350,349
Royal Enfield,Meteor 350,349
Royal Enfield,Himalayan,452
KTM,Duke 200,199
KTM,Duke 250,249
KTM,RC 200,199
KTM,390 Duke,399
BMW,G 310 R,313
Triumph,Speed 400,398
