brand,model,engine_cc,age_months,km_driven,owners,condition,launch_price,price
KTM,390 Duke,399,93,105370,1,Poor,281820,46587
Honda,Shine,123,40,36745,1,Fair,127140,49392
TVS,Apache RTR 160,159,8,7576,2,Excellent,118620,99423
KTM,Duke 250,249,14,9064,1,Good,254820,189781
Royal Enfield,Classic 350,349,47,44726,1,Good,242820,88585
TVS,Apache RTR 200 4V,197,46,31577,2,Excellent,125460,49830
TVS,Apache RTR 160,159,36,21838,2,Fair,118620,48675
Hero,Splendor Plus,97,4,3106,1,Good,97460,83959
Bajaj,Pulsar 125,125,21,13754,1,Good,122500,81318
Yamaha,FZ-FI,149,70,83719,3,Fair,141820,25149
Yamaha,R15 V4,155,18,16680,1,Good,142900,98889
Yamaha,R15 V4,155,96,106499,1,Poor,142900,23563
TVS,Apache RTR 160,159,73,40634,1,Poor,118620,22428
TVS,Sport,109,31,20874,4,Good,109620,47027
Honda,Shine,123,13,6798,2,Good,127140,90666
Triumph,Speed 400,398,71,88100,2,Fair,311640,59156
Honda,Hornet 2.0,184,49,24608,4,Good,138120,38602
Honda,Shine,123,16,11446,2,Excellent,127140,94575
Hero,HF Deluxe,97,26,15989,1,Excellent,97460,65122
Hero,Splendor Plus,97,69,38901,2,Good,97460,23258
TVS,Sport,109,21,24328,1,Excellent,109620,78405
Royal Enfield,Hunter 350,349,26,27431,1,Excellent,242820,158811
Suzuki,V-Strom SX,249,92,109110,1,Fair,149820,28894
Yamaha,R15 V4,155,18,14529,2,Excellent,142900,102557
Suzuki,Gixxer,155,38,28909,1,Good,132900,62367
Bajaj,Pulsar NS200,199,63,50969,1,Good,135820,33677
TVS,Sport,109,11,11412,1,Excellent,109620,93195
Honda,SP 125,124,24,22587,1,Excellent,127320,86966
Yamaha,FZ-FI,149,85,94088,1,Poor,141820,24031
BMW,G 310 R,313,23,22606,1,Good,406340,256819
KTM,Duke 250,249,62,41340,1,Good,254820,64389
Suzuki,Gixxer,155,39,26892,2,Excellent,132900,63243
TVS,Radeon,109,2,1476,2,Excellent,109620,100302
KTM,RC 200,199,57,50685,1,Fair,245820,56473
Royal Enfield,Himalayan,452,88,44264,2,Poor,261360,46125
KTM,390 Duke,399,90,66737,1,Poor,281820,50585
Royal Enfield,Classic 350,349,10,7983,2,Excellent,242820,197974
TVS,Sport,109,18,10711,1,Good,109620,76699
TVS,Sport,109,52,54560,1,Good,109620,33824
Yamaha,FZ-FI,149,77,66037,1,Poor,141820,25492
Honda,Shine,123,54,64494,1,Fair,127140,31646
TVS,Sport,109,72,85923,2,Fair,109620,20905
KTM,Duke 200,199,61,59288,1,Fair,245820,52700
Suzuki,V-Strom SX,249,57,60989,1,Fair,149820,33716
Honda,Shine,123,84,88958,2,Poor,127140,20476
KTM,RC 200,199,79,95969,2,Fair,245820,45877
TVS,Sport,109,71,87028,3,Good,109620,21957
KTM,Duke 250,249,86,88251,1,Poor,254820,43725
TVS,Radeon,109,2,2257,1,Excellent,109620,106554
BMW,G 310 R,313,71,55413,4,Fair,406340,68479
TVS,Sport,109,34,20032,1,Fair,109620,50044
Honda,Shine,123,70,86183,1,Good,127140,29324
Yamaha,FZ-FI,149,63,48615,2,Fair,141820,29194
Royal Enfield,Classic 350,349,64,62601,1,Fair,242820,51710
Honda,SP 125,124,23,23166,3,Excellent,127320,76852
TVS,Sport,109,43,36086,2,Excellent,109620,46633
Hero,Splendor Plus,97,61,64315,1,Fair,97460,20682
Yamaha,MT-15,155,86,73548,1,Fair,142900,29755
Triumph,Speed 400,398,54,46865,1,Fair,311640,80354
KTM,390 Duke,399,27,28937,2,Excellent,281820,169752
TVS,Sport,109,33,16588,1,Good,109620,58452
Bajaj,Pulsar NS200,199,96,99225,2,Fair,135820,25168
Triumph,Speed 400,398,18,18695,2,Good,311640,201963
TVS,Radeon,109,31,17625,1,Good,109620,60658
Hero,Splendor Plus,97,84,98748,2,Poor,97460,15367
Honda,SP 125,124,93,89174,3,Fair,127320,22317
BMW,G 310 R,313,24,27758,4,Good,406340,195094
KTM,390 Duke,399,31,31224,2,Good,281820,142882
Yamaha,FZ-FI,149,50,33922,2,Fair,141820,40054
Suzuki,V-Strom SX,249,69,37062,2,Fair,149820,31544
TVS,Radeon,109,38,28229,4,Excellent,109620,44150
Royal Enfield,Meteor 350,349,85,74910,1,Fair,242820,50418
Bajaj,Pulsar 125,125,15,8550,1,Excellent,122500,98904
Honda,SP 125,124,47,52098,2,Good,127320,43031
KTM,Duke 200,199,17,14204,1,Excellent,245820,190669
Royal Enfield,Himalayan,452,11,11621,1,Excellent,261360,222115
Triumph,Speed 400,398,82,45551,2,Fair,311640,64541
Bajaj,Pulsar 150,149,30,21649,1,Good,126820,70981
TVS,Sport,109,56,52955,2,Fair,109620,24461
